cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
南京金逸影城IMAX(光美南京江宁店),5.2万,1836,39,28.4
武汉金逸影城IMAX(光美武汉荟聚店),4.3万,1379,21,31.8
昆山CGV影城(昆城广场店),4.3万,1332,27,32.6
汕头启航国际影城,3.6万,1218,26,30.0
珠海中影国际影城(华发商都店),3.5万,994,17,35.4
安阳天翼奥斯卡影城,3.3万,1162,83,28.5
广州百丽宫IMAX影城(猎德igc店),3.3万,716,17,46.1
济南百丽宫影城(恒隆广场店),3.1万,391,9,79.7
泰兴星光国际影城,3.1万,910,70,34.0
上海大光明电影院(南京西路店),2.8万,681,18,41.4
深圳华夏艺术中心数码影院,2.7万,780,49,34.9
深圳深圳百老汇电影中心(IMAX万象天地店),2.7万,551,10,49.0
北京耀莱成龙国际影城(五棵松店),2.6万,654,7,40.2
北京UME国际影城(双井店),2.5万,601,11,43.0
深圳CGV影城(壹方城IMAX店),2.3万,497,8,46.7
昆山中传国际影城(昆山启发店),2.2万,557,13,39.6
湘西万家凤凰电影城,2.2万,721,37,30.5
北京金逸影城(朝阳大悦城IMAX店),2.1万,387,8,56.2
淮阳淮阳天鸿中影数字影城,2.1万,853,24,25.3
上海CGV影城(七宝万科广场IMAX店),2.0万,363,7,56.9
宁波博纳国际影城北仑IMAX店,2.0万,580,8,34.8
珠海英皇UA电影城(富华里店),2.0万,592,21,34.0
北京首都电影院(悦荟万科广场店),1.9万,563,12,34.8
广州飞扬影城(高德置地店),1.9万,486,11,40.3
武汉武商摩尔国际电影城(国广店),1.9万,672,7,28.9
长春吉视影城(迅驰店),1.9万,646,14,30.0
北京卢米埃影城(长楹天街IMAX店),1.9万,384,8,50.3
青岛CGV影城(万象城IMAX店),1.9万,436,10,44.1
北京首都电影院(西单店),1.9万,547,8,34.8
玉林星际影城(容州店),1.8万,632,31,30.0
南京新街口国际影城(德基广场IMAX店),1.8万,549,6,34.1
上海国泰电影院,1.8万,474,27,39.5
南京SFC上影影城(南京店),1.8万,637,13,29.0
南平南平大剧院,1.8万,903,83,20.3
北京中影国际影城(昌平永旺店),1.8万,492,12,36.9
北京保利国际影城(凯德MALL·大峡谷店),1.7万,479,11,37.4
深圳万象影城(罗湖万象城店),1.7万,451,7,39.7
哈尔滨CGV影城(会展中心IMAX店),1.7万,502,8,35.3
中山五月花电影城(棕榈彩虹商业中心店),1.7万,546,19,32.3
北京CGV影城(清河店),1.7万,293,7,59.7
宁波CGV影城(文化广场IMAX店),1.7万,435,9,40.0
瑞安瑞安电影城,1.7万,776,16,22.1
广州飞扬影城(正佳IMAX店),1.6万,379,7,44.6
广州飞扬影城(天河城店),1.6万,390,8,43.3
深圳南国影城(金光华店),1.6万,468,12,35.4
绍兴蓝天国际影城,1.6万,507,12,32.6
北京CGV星星影城(颐堤港店),1.6万,229,6,71.9
深圳百老汇影城(cocopark店),1.6万,413,13,39.0
北京金逸影城(荟聚IMAX店),1.6万,328,6,49.1
长沙CGV影城(德思勤IMAX店),1.6万,352,7,45.6
北京莱纳恒泰影城,1.6万,400,7,40.1
北京寰映影城(合生汇店),1.5万,243,4,65.5
南昌万达国际影城(红谷滩店),1.5万,426,7,37.2
上海百美汇影城(嘉里中心店),1.5万,265,10,59.3
福州CGV影城(东二环IMAX店),1.5万,388,7,40.1
上海百丽宫影城(环贸iapm店),1.5万,236,7,65.6
滑县滑县奥斯卡浩创电影城,1.5万,447,23,34.3
北京CGV星星影城(奥体店),1.5万,345,9,44.3
深圳博纳国际影城(皇庭店),1.5万,360,6,42.4
海口中视国际影城IMAX(喜盈门店),1.5万,531,7,28.6
