cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
广州飞扬影城(正佳IMAX店),8.4万,1680,26,50.5
昆明大都激光IMAX影院,5.1万,838,168,60.9
北京首都电影院(西单店),4.7万,1005,15,47.0
北京UME国际影城(双井店),4.0万,958,16,41.8
淮阳淮阳天鸿中影数字影城,3.5万,1341,34,26.7
铁岭中影国际影城(开原店),3.4万,557,17,62.3
乌鲁木齐盘龙影院,3.3万,993,42,33.5
上海万达影城(五角场万达广场店),3.2万,700,11,46.1
无锡CGV影城(盛岸IMAX店),3.0万,922,17,32.8
宁波博纳国际影城北仑IMAX店,3.0万,799,11,37.8
北京金逸影城(朝阳大悦城IMAX店),2.9万,509,10,58.4
南京新街口国际影城(德基广场IMAX店),2.8万,859,9,33.6
北京首都电影院(悦荟万科广场店),2.8万,774,15,37.2
武汉金逸影城IMAX(光美武汉荟聚店),2.8万,891,13,31.6
深圳深圳百老汇电影中心(IMAX万象天地店),2.7万,535,9,51.3
哈尔滨CGV影城(会展中心IMAX店),2.5万,703,12,36.1
上海CGV影城(七宝万科广场IMAX店),2.5万,379,7,66.1
武汉武商摩尔国际电影城(国广店),2.4万,848,8,29.3
重庆UME影城(渝中),2.4万,663,8,37.4
青岛CGV影城(万象城IMAX店),2.4万,452,9,53.4
广州百丽宫IMAX影城(猎德igc店),2.4万,475,11,50.5
深圳CGV影城(壹方城IMAX店),2.3万,452,7,53.0
北京寰映影城(合生汇店),2.3万,361,7,65.4
北京UME国际影城(华星店),2.2万,434,10,52.1
北京中影国际影城(昌平永旺店),2.2万,606,14,36.3
昆明大都光魔激光影院,2.1万,633,11,34.6
通化博纳巨幕影城,2.1万,713,16,30.6
大同万达影城(万达广场店),2.1万,584,10,37.4
北京天幕新彩云国际影城,2.1万,648,15,33.5
北京万达国际影城(CBD店),2.1万,249,5,86.8
上海百丽宫影城(环贸iapm店),2.1万,318,9,67.5
北京金逸影城(荟聚IMAX店),2.1万,435,7,49.1
北京CGV影城(清河店),2.1万,367,9,57.8
北京耀莱成龙国际影城(五棵松店),2.0万,487,5,42.4
苏州CGV影城(苏州中心IMAX店),2.0万,437,8,47.3
成都百丽宫影城(太古里店),2.0万,354,7,57.5
北京UME国际影城(安贞店),2.0万,491,8,41.0
济南万达影城(经四路店),1.9万,538,11,36.6
上海大光明电影院(南京西路店),1.9万,461,12,42.2
汕头艺都大剧院(金砂路店),1.8万,921,93,20.5
南京万达影城(江宁太阳城店),1.8万,547,12,34.0
上海SFC上影影城(港汇永华IMAX店),1.8万,314,5,59.3
长沙CGV影城(德思勤IMAX店),1.8万,395,9,46.3
天津首都电影院(未来广场店),1.8万,547,11,33.4
上海百丽宫影城(ifc商场店),1.8万,341,9,53.0
大同文化宫一宫(御河西路店),1.7万,895,30,20.0
珠海中影国际影城(华发商都店),1.7万,497,8,35.8
广州飞扬影城(天河城店),1.7万,367,7,48.2
武汉万达影城(汉街万达广场店),1.7万,499,6,34.5
上海金逸影城(龙之梦IMAX店),1.7万,322,6,52.9
无锡海岸影城(无锡海岸城店),1.6万,536,11,31.6
苏州苏艺影城(艺术中心店),1.6万,408,8,41.3
上海海上明珠国际影城(环球港店),1.6万,340,7,49.3
北京嘉华国际影城(学清路店),1.6万,388,8,43.0
阆中福德国际影城,1.6万,269,9,62.0
湘西万家凤凰电影城,1.6万,515,33,31.9
长春吉视影城(迅驰店),1.6万,521,12,31.4
太原中影国际影城(长风街和信广场店),1.6万,513,13,31.3
北京CGV星星影城(颐堤港店),1.5万,232,6,68.8
北京CGV影城(顺义店),1.5万,296,7,53.9
重庆UME影城(北城天街店),1.5万,455,6,35.0
永州新城名都国际影城,1.5万,558,28,28.5
延边CGV影城(百利城店),1.5万,458,11,34.5
成都CGV影城(金楠IMAX店),1.5万,368,6,42.9
汕头鮀岛影剧院,1.5万,600,60,26.3
武汉中影国际影城(光谷天河店),1.5万,567,12,27.5
南京卢米埃影城(金鹰河西店),1.5万,332,7,46.5
北京保利国际影城(凯德MALL·大峡谷店),1.5万,409,9,37.7
北京卢米埃影城(长楹天街IMAX店),1.5万,271,5,56.8
南京CGV影城(百家湖店),1.5万,472,9,32.5
成都海上明珠国际影城(银泰店),1.5万,444,9,34.3
深圳万象影城(深圳万象城店),1.5万,300,4,50.0
广州百老汇影城(凯德店),1.4万,380,8,39.3
天津CGV星星影城(滨海IMAX店),1.4万,394,9,37.6
北京金泉港IMAX国际影城,1.4万,280,3,52.1
广州金逸国际影城(海珠城IMAX店),1.4万,325,7,44.8
上海大悦城新恒星影城(大悦城店),1.4万,330,8,44.0
上海百丽宫影城(长宁来福士店),1.4万,260,5,55.2
武汉CGV影城(金银潭店),1.4万,396,8,36.0
武汉CGV影城(奥山IMAX店),1.4万,432,7,33.0
北京万达国际影城(石景山店),1.4万,213,4,66.7
上海百美汇影城(嘉里中心店),1.4万,223,7,63.7
大连中影华臣影城(西安路店),1.4万,537,13,26.3
深圳百老汇影城(cocopark店),1.4万,334,9,42.3
武汉武汉博纳国际影城(IMAX),1.4万,462,8,30.3
北京万达国际影城(通州万达店),1.4万,215,3,65.2
广州金逸珠江国际影城(大学城店),1.4万,384,16,36.5
上海中影国际影城(长泰广场店),1.4万,365,6,38.3
福州CGV影城(东二环IMAX店),1.3万,349,6,39.7
北京博纳国际影城(悠唐店),1.3万,249,6,55.5
海安幸福蓝海国际影城(海安店),1.3万,512,19,27.0
大连CGV影城(柏威年店),1.3万,395,10,34.9
徐州中山堂国际影城,1.3万,476,10,28.9
上海地中海影城,1.3万,380,8,35.9
上海中影国际影城(合生汇店),1.3万,327,6,41.6
莆田万达影城(万达广场店),1.3万,348,6,38.8
泉州万达影城(泉州万达广场店),1.3万,313,6,42.5
北京金逸影城(中关村店),1.3万,256,6,51.2
成都CGV影城(温江店),1.3万,379,8,34.5
武汉CGV影城(永旺金桥IMAX店),1.3万,390,9,33.5
济南万达影城(世茂店),1.3万,312,5,41.9
天津金逸影城(大悦城IMAX店),1.2万,314,5,41.3
哈尔滨森美影城,1.2万,380,14,34.1
成都太平洋影城(春熙店),1.2万,391,5,33.0
南京喜满客影城(万谷店),1.2万,463,8,27.8
北京美嘉欢乐影城(三里屯店),1.2万,207,5,62.1
保定万达影城(万博广场店),1.2万,383,9,33.5
长沙横店电影城,1.2万,417,6,30.7
上海橙天嘉禾影城(LuOne凯德晶萃店),1.2万,193,5,66.3
北京魔影国际影城(金源店),1.2万,262,4,48.8
广州北京路飞扬影城IMAX店,1.2万,468,6,27.3
杭州CGV影城(滨江天街IMAX店),1.2万,276,5,46.3
西安CGV影城(印象城IMAX店),1.2万,357,8,35.7
郑州CGV影城(大卫城IMAX店),1.2万,322,7,39.1
成都CGV影城(金牛IMAX店),1.2万,316,8,39.8
广州百丽宫影城(天环店),1.2万,268,10,46.6
大连万达国际影城(和平店),1.2万,341,6,36.4
南昌华影国际影城(中山路店),1.2万,391,8,31.5
芜湖CGV影城(中央城店),1.2万,414,7,29.7
哈尔滨CGV影城(学府店),1.2万,360,9,34.1
海口CGV影城(友谊阳光城IMAX店),1.2万,360,7,34.1
大连万达国际影城(经开万达广场店),1.2万,362,5,33.9
九江武宁星河影城,1.2万,308,22,39.7
北京博纳国际影城(密云店),1.2万,298,9,40.8
长沙哈艺时尚影城(长沙富兴店),1.2万,439,13,27.5
广州CGV影城(K11店),1.2万,150,3,80.3
广州星汇电影城,1.2万,445,7,27.0
北京万达国际影城(龙德广场店),1.2万,192,4,62.5
武汉高德国际影城(藏龙岛店),1.2万,407,12,29.4
北京保利国际影城(苹果园店),1.1万,235,8,50.5
赣州CGV影城(万象城IMAX店),1.1万,334,6,35.4
北京百老汇影城(国瑞购物中心店),1.1万,264,7,44.8
北京红星太平洋电影城(爱琴海购物中心店),1.1万,237,5,49.8
成都CGV影城(高新IMAX店),1.1万,305,7,38.7
重庆保利万和熙街影城(熙街店),1.1万,340,11,34.7
成都UA国际金融中心影城,1.1万,282,6,41.8
晋中万达影城(万达广场店),1.1万,357,7,32.9
北京美嘉欢乐影城(中关村店),1.1万,253,6,46.4
深圳博纳国际影城(皇庭店),1.1万,263,5,44.6
南昌万达国际影城(红谷滩店),1.1万,299,5,39.0
大连万达国际影城(高新店),1.1万,358,5,32.4
成都万达影城(锦华万达广场店),1.1万,306,4,37.9
广州天河电影城(天娱广场店),1.1万,285,5,40.1
沈阳CGV影城(金融中心IMAX店),1.1万,328,6,34.6
北京CGV星星影城(奥体店),1.1万,275,7,41.2
盖州完美世界影城(17.5华阳店),1.1万,384,16,29.4
北京橙天嘉禾影城(祥云小镇店),1.1万,177,5,63.8
上海星光影城(亚新旗舰店),1.1万,296,6,38.1
北京中影国际影城(丰台千禧街店),1.1万,363,7,31.0
杭州CGV影城(乐堤港IMAX店),1.1万,242,5,46.5
南京SFC上影影城(南京店),1.1万,388,8,28.9
成都成都海滨城激光4DMX影院,1.1万,421,11,26.4
武汉武商众圆摩尔国际电影城(众圆店),1.1万,372,5,29.7
上海海上明珠国际影城(大宁IMAX店),1.1万,237,5,46.4
宁波CGV影城(鄞州IMAX店),1.0万,267,5,41.1
西安奥斯卡熙地港国际影城(熙地港店),1.0万,333,6,33.0
北京CGV影城(亦庄店),1.0万,234,6,46.8
杭州时代联合影城,1.0万,376,7,28.9
沈阳CGV影城(中街盾安新一城店),1.0万,316,8,34.2
北京莱纳恒泰影城,1.0万,275,5,39.1
上海万达影城(宝山万达广场店),1.0万,247,4,43.5
昆明CGV影城(呈贡IMAX店),1.0万,299,6,36.0
西安CGV影城(胡家庙店),1.0万,319,6,33.6
北京新影联·华谊兄弟影院(望京店),1.0万,315,5,34.0
成都中影星美国际影城(百伦广场店),1.0万,280,9,38.1
无锡金逸影城IMAX(光美无锡荟聚店),1.0万,298,5,35.8
长沙CGV影城(岳麓IMAX店),1.0万,279,6,38.2
北京广安门电影院,1.0万,334,8,31.8
北京珠影耳东传奇影城,1.0万,220,4,48.2
北京耀莱成龙国际影城(慈云寺店),1.0万,224,5,47.2
青岛CGV影城(新都心IMAX店),1.0万,270,7,39.2
南京万达影城(江宁万达广场店),1.0万,321,5,32.8
郑州奥斯卡熙地港影城,1.0万,300,4,35.1
长沙CGV影城(梅溪湖IMAX店),1.0万,241,6,43.7
长春欢乐城国际影城,1.0万,368,7,28.5
武汉CGV影城(光谷IMAX店),1.0万,335,6,31.3
北京百丽宫影城(国贸店),1.0万,267,10,39.2
长春中影影天下巨幕影城(活力城店),1.0万,301,5,34.7
武汉巨幕影城(光谷广场资本大厦店),1.0万,375,6,27.8
天津佳映国际影城(滨江道店),1.0万,298,4,34.9
大连博纳国际影城IMAX(中央大道店),1.0万,354,7,29.4
常德中影鸿鑫国际影城(石门巨幕店),1.0万,295,13,35.1
上海万裕国际影城(淮海店),1.0万,288,14,35.9
上海万达影城(江桥万达广场店),1.0万,230,4,45.0
常州中影国际影城(莱蒙店),1.0万,341,8,30.3
北京新华国际影城(大钟寺店),1.0万,298,6,34.6
长沙CGV影城(星沙IMAX店),1.0万,259,6,39.8
乌鲁木齐i尚花田电影小镇,1.0万,315,5,32.6
济南百丽宫影城(恒隆广场店),1.0万,261,6,39.3
重庆CGV影城(茶园店),1.0万,282,6,36.3
武汉金逸影城(王家湾店),1.0万,288,5,35.5
上海SFC上影影城(徐汇绿地滨江IMAX店),1.0万,218,6,46.9
上海SFC上影影城(美罗城店),1.0万,186,8,55.0
北京沃美影城(常营店),1.0万,235,5,43.5
广州中华广场电影城,1.0万,308,6,33.1
上海CGV影城(白玉兰广场IMAX店),1.0万,200,4,51.0
杭州中影国际影城(西溪印象城店),1.0万,267,6,37.6
广州飞扬影城(乐峰店),1.0万,269,5,37.3
