nickName,cityName,score,content,startTime
A   💃👟shoes 汤袁 💃,蚌埠,5.0,非常好看啊！不是很血腥的那种动作片，推荐一下,2018-12-08 10:38:37
Yancy505,深圳,4.5,海底的特效场景，剧情的连接转换都非常不错,2018-12-08 10:38:28
GG97669,深圳,5.0,完美mmmm,2018-12-08 10:38:25
jsh689055415,成都,0.5,除了特效几乎无看点，老套的美式故事情节,2018-12-08 10:38:16
谢冬晴DD,富阳,4.5,超速版加勒比海王鸭，酷炫狂拽吊炸天的海底世界恍惚了情节，一度忘了这还是部Super hero的电影了。,2018-12-08 10:38:11
FJN195087848,广州,4.5,看完一次想再看几遍！,2018-12-08 10:38:05
周小瑜Charles,义乌,5.0,好 很好 非常好,2018-12-08 10:38:00
时宇轻狂,泰州,4.0,只能说作为商业片视觉大场面特效确实挺不错，可惜少了dc以前暗黑有深意的精髓，只能说是dc向市场的妥协，希望以后还能出些有深度的吧，另外感觉选角还是尊原著吧，不是演的不好，就是把海王演的太有野性了。,2018-12-08 10:37:58
丁舟亢,南阳,4.5,两个女主都很漂亮,2018-12-08 10:37:51
阿伟美容~金金15290619358,太原,5.0,挺好看的，，,2018-12-08 10:37:39
---（y）,延安,5.0,DC的巅峰之作哇！DC崛起了......,2018-12-08 10:37:20
漩涡鸣人,河源,4.5,还可以吧。。,2018-12-08 10:37:05
ccfZE,白山,5.0,好看，剧情紧凑，几乎每一段都是在战斗，一个字，爽,2018-12-08 10:36:46
juV241575857,潜江,5.0,好看哈哈啊哈哈,2018-12-08 10:36:38
刘康,武汉,3.0,"剧情太扯，完全就是看画面跟特效
",2018-12-08 10:36:38
椛生米_米米,上海,5.0,海底世界太美了，特效太赞了，女主超级美。,2018-12-08 10:36:27
GeorgeGi,焦作,5.0,DC接下来十年，值得期待。海王第一部开启DC宇宙。,2018-12-08 10:36:17
金牛的天空,银川,4.0,还可以，孩子爱看,2018-12-08 10:36:16
山楂叶花,深圳,5.0,好看，好看，还是好看😊～,2018-12-08 10:36:02
Yesterday,昆明,5.0,牛逼，迄今为止最好看的，特效最震撼的漫威电影,2018-12-08 10:36:02
Frank.Nikoy,南通,5.0,鸿篇巨制，真的好看,2018-12-08 10:35:51
som815595418,淮安,5.0,特效赏心悦目,2018-12-08 10:35:41
qIo974897530,曲靖,5.0,这部影片场面很华丽,2018-12-08 10:35:32
Dreams枫叶,泰州,4.5,电影特效还不错,2018-12-08 10:35:23
忠888,东阳,5.0,光特效就值10分，,2018-12-08 10:35:23
QzC464983121,盘锦,5.0,完美，中的完美,2018-12-08 10:35:18
曾生,湛江,5.0,海王的至尊大貂  ,2018-12-08 10:35:12
Hhy694088000,泸州,5.0,有感情的一部精彩格斗,2018-12-08 10:34:08
梦回丶飞翔,绵阳,4.5,确实不错。画面美到爆。特别震撼,2018-12-08 10:33:30
rayzh,上海,4.0,7.8分吧。故事流畅，节奏跌宕起伏。海底的亚特兰蒂斯之城有阿凡达潘多拉的视觉冲击力，部分场景有点指环王味道。兄弟俩决斗有点角斗士感觉，寻找三叉戟有夺宝奇兵的幽默，媚拉与海王芙蓉出水在向007诺博士致敬。IMAX全屏展示后更加震撼。动作场面上除了秉持DC毁天灭地的大场面，在细节和镜头表现力上更胜一筹，但明显后半部玩high了，怎么爽怎么来，因此只限于此，有种大杂烩的味道，特效绚丽但没有突破。故事架构可以说复古也能说是传统，和黑暗骑士，守望者比不能望其项背。和同档次的美队2比略差了个层次（美队2在爽的同时放进了政治惊悚内核）属于和钢铁侠差不多级别（钢铁侠在炫酷科技的外壳下讲人的转变）超级爆米花,2018-12-08 10:33:30
Gis512562548,宿州,5.0,绝对算的上最好的超级英雄电影了！！！无论特效动作戏还有场景画面配乐都特别的震撼，剧情也很感人，片尾曲很好听，是一部及动作科幻奇幻冒险亲情爱情略带一点恐怖的集大成之作！！！让人看了还想要继续二刷！总之一句话海王决定算的上是年度最佳了！！！,2018-12-08 10:33:28
qulin550,北京,4.5,效果一流，该感人的地方感人，该幽默的地方幽默，DC的场面上一直比漫威爽,2018-12-08 10:33:26
勇往直前,武汉,4.5,不错气势磅礴,2018-12-08 10:33:16
jPN808927108,佛山,5.0,值得推荐，漫威就是好看！,2018-12-08 10:33:11
ala675771529,南京,0.5,垃圾电影，除了特效还有什么！？,2018-12-08 10:32:14
UbI610363344,苏州,5.0,太好看了，年度最佳特效,2018-12-08 10:32:11
Sfg656733889,张家港,5.0,特效和故事都很好看，吹爆,2018-12-08 10:31:53
maxzhao,北京,5.0,视觉奇观+绝世美颜,2018-12-08 10:31:29
LZSXXX333,佛山,4.0,还行、特效不错、,2018-12-08 10:31:23
