"高级软件工程师","http://jobs.zhaopin.com/000405777250307.htm","10001-15000元/月xa0","北京-海淀区","3-5年","本科","高级软件工程师"
"图像智能分析高级研发工程师","http://jobs.zhaopin.com/12099417190252349000.htm","15000-30000元/月xa0","北京","1-3年","硕士","算法工程师"
"高级前端工程师","http://jobs.zhaopin.com/000159737256931.htm","20001-30000元/月xa0","北京-东城区","不限","本科","高级软件工程师"
"php工程师/php程序员/php","http://jobs.zhaopin.com/CZ735252640J00136585801.htm","15000-25000元/月xa0","北京","3-5年","不限","软件研发工程师"
"C++软件开发工程师（北京）","http://jobs.zhaopin.com/12037969590250796000.htm","面议xa0","北京","1-3年","本科","软件工程师"
"（AI）人工智能python全栈工程师实习生","http://jobs.zhaopin.com/CC431422936J00033881114.htm","7500-14000元/月xa0","北京","不限","大专","软件工程师"
"python开发工程师","http://jobs.zhaopin.com/CC580287183J00021327415.htm","10001-15000元/月xa0","北京","1-3年","大专","软件工程师"
"python工程师","http://jobs.zhaopin.com/637701223250079.htm","15000-30000元/月xa0","北京-海淀区","不限","不限","高级软件工程师"
"Python讲师","http://jobs.zhaopin.com/131367997252064.htm","15000-25000元/月xa0","北京","1-3年","本科","培训师/讲师"
"Python算法开发实习生","http://jobs.zhaopin.com/464478487250044.htm","1000元/月以下xa0","北京-朝阳区","不限","本科","高级软件工程师"
"Python程序员","http://jobs.zhaopin.com/334719738250118.htm","10001-15000元/月xa0","北京","不限","本科","游戏设计/开发"
"Python研发中级工程师","http://jobs.zhaopin.com/CC241742982J00036064910.htm","15000-30000元/月xa0","北京","3-5年","本科","互联网软件工程师"
"Python开发实习生","http://jobs.zhaopin.com/491469330251549.htm","5000-8000元/月xa0","北京-海淀区","不限","不限","实习生"
"推荐系统工程师（Java&Python）","http://jobs.zhaopin.com/CC373872539J00025076110.htm","10000-20000元/月xa0","北京","1-3年","本科","算法工程师"
"高级python研发工程师","http://jobs.zhaopin.com/CZ719977190J00034650908.htm","25000-30000元/月xa0","北京","5-10年","本科","互联网软件工程师"
"python开发工程师","http://jobs.zhaopin.com/458741988250012.htm","15000-30000元/月xa0","北京","5-10年","本科","高级软件工程师"
"python高级开发工程师","http://jobs.zhaopin.com/CC453705987J00035284709.htm","20001-30000元/月xa0","北京","1-3年","本科","高级软件工程师"
"Python开发工程师","http://jobs.zhaopin.com/140513769250392.htm","15001-20000元/月xa0","北京-海淀区","3-5年","本科","软件研发工程师"
"Python开发工程师","http://jobs.zhaopin.com/428715824251186.htm","15001-20000元/月xa0","北京","不限","不限","软件研发工程师"
"Python后端高级研发工程师","http://jobs.zhaopin.com/701352323251353.htm","20000-40000元/月xa0","北京-朝阳区","3-5年","本科","其他"
"Python研发工程师","http://jobs.zhaopin.com/CC230215017J00020307415.htm","15000-30000元/月xa0","北京","不限","本科","软件工程师"
"高级爬虫工程师（Python）","http://jobs.zhaopin.com/188556310254027.htm","10000-20000元/月xa0","北京-朝阳区","3-5年","本科","高级软件工程师"
"爬虫开发经理（Python）","http://jobs.zhaopin.com/188556310254026.htm","20000-30000元/月xa0","北京-朝阳区","5-10年","本科","IT技术/研发经理/主管"
"Python测试开发岗","http://jobs.zhaopin.com/278073119251905.htm","10001-15000元/月xa0","北京","不限","不限","脚本开发工程师"
"Python数据采集爬虫工程师","http://jobs.zhaopin.com/467352913251869.htm","6000-12000元/月xa0","北京","不限","不限","脚本开发工程师"
"python开发工程师","http://jobs.zhaopin.com/CC384272031J00030458715.htm","20001-30000元/月xa0","北京","3-5年","本科","软件研发工程师"
"Python全栈开发工程师","http://jobs.zhaopin.com/CC229771515J00039734010.htm","8001-10000元/月xa0","北京","1-3年","本科","软件研发工程师"
